113,211,36,22,65,325,495,6167,25,2682
123,157,40,28,521,240,396,7149,20,3063
105,152,51,19,77,229,314,6719,16,2882
106,165,46,26,124,374,310,6913,20,-2.4092e+005
143,170,53,23,91,219,319,6943,22,3012
110,206,62,27,76,251,348,6711,15,3577
103,184,42,25,64,231,328,6812,13,3492
108,151,40,28,75,183,324,6914,16,3550
104,161,38,24,52,580,307,6855,11,3484
105,154,33,22,44,206,400,49535,13,3569
240,858,66,66,149,378,440,7234,3518,3554
99,144,22,38,73,206,794,7087,13,3538
112,146,31,32,53,395,343,6862,16,3463
110,141,34,36,49,377,376,7089,12,3593
99,150,22,34,55,386,753,6985,13,1079
230,299,97,17,100,1268,1543,7032,18,3457
